No.,Weekly Schedule,Delivered By,Location,Category,Area,Branch,Frequency,Frequency Count,TL,Delivery Mode,Active Branches
28,SATURDAY,FTI,NL,BRANCH,ILOCOS NORTE,ABENSON SAN NICOLAS,F2,2,"OPEÑA, JR., ROLANDO",DIRECT,Active
28,SATURDAY,FTI,NL,ASC,ILOCOS NORTE,CENTRAL REPUBLIC SAN NICOLAS,F2,2,,DIRECT,
28,SATURDAY,FTI,NL,BRANCH,ILOCOS NORTE,MAGIC BATAC,F2,2,"OPEÑA, JR., ROLANDO",DIRECT,To be Closed
29,FRIDAY,FTI,NL,BRANCH,ILOCOS SUR,MAGIC TAGUDIN,F2,2,"OPEÑA, JR., ROLANDO",DIRECT,Active
29,FRIDAY,FTI,NL,BRANCH,ILOCOS SUR,CSI CANDON,F2,2,"OPEÑA, JR., ROLANDO",DIRECT,Active
29,FRIDAY,FTI,NL,BRANCH,ILOCOS SUR,MAGIC CANDON,F2,2,"OPEÑA, JR., ROLANDO",DIRECT,Active
29,FRIDAY,FTI,NL,BRANCH,ILOCOS SUR,MAGIC CABUGAO,F2,2,"OPEÑA, JR., ROLANDO",DIRECT,Active
29,FRIDAY,FTI,NL,BRANCH,ILOCOS SUR,MAGIC NARVACAN,F2,2,"OPEÑA, JR., ROLANDO",DIRECT,Active
29,FRIDAY,FTI,NL,BRANCH,ILOCOS SUR,MAGIC ABRA,F2,2,"OPEÑA, JR., ROLANDO",DIRECT,Active
29,FRIDAY,FTI,NL,ASC,ILOCOS SUR,TECHNOMAGIC NARVACAN,F2,2,,DIRECT,
29,FRIDAY,FTI,NL,BRANCH,ILOCOS SUR,MAGIC BANTAY,F2,2,"OPEÑA, JR., ROLANDO",DIRECT,Active
29,FRIDAY,FTI,NL,BRANCH,ILOCOS SUR,MEGASAVER VIGAN,F2,2,"OPEÑA, JR., ROLANDO",DIRECT,Active
29,FRIDAY,FTI,NL,BRANCH,ILOCOS SUR,ROBINSONS VIGAN,F2,2,"OPEÑA, JR., ROLANDO",DIRECT,Active
30,MONDAY,FTI,SL,BRANCH,IMUS,ABENSON PG BACOOR,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
30,MONDAY,FTI,SL,BRANCH,IMUS,ABENSON LOTUS IMUS,F4,4,"ENCINARES, BON JOVI",DIRECT,Active
30,MONDAY,FTI,SL,ASC,IMUS,ESPINEDA,F4,4,,DIRECT,
30,MONDAY,FTI,SL,BRANCH,IMUS,S&R IMUS,F4,4,"ENCINARES, BON JOVI",DIRECT,Active
30,MONDAY & THURSDAY,FTI,SL,BRANCH,IMUS,ABENSON RP IMUS,F8,8,"ENCINARES, BON JOVI",DIRECT,Active
30,MONDAY,FTI,SL,BRANCH,IMUS,ROBINSONS IMUS,F4,4,"ENCINARES, BON JOVI",DIRECT,Active
30,MONDAY,FTI,SL,BRANCH,IMUS,ABENSON PG ANABU,F4,4,"ENCINARES, BON JOVI",DIRECT,Active
30,MONDAY,FTI,SL,BRANCH,IMUS,WESTERN IMUS,F4,4,"ENCINARES, BON JOVI",DIRECT,Active
31,THURSDAY,FTI,NL,BRANCH,ISABELA,MEGASAVER SANTIAGO,F2,2,"QUINAGORAN, OLIVER",DIRECT,Active
31,THURSDAY,FTI,NL,BRANCH,ISABELA,MAGIC SANTIAGO,F2,2,"QUINAGORAN, OLIVER",DIRECT,Active
31,THURSDAY,FTI,NL,BRANCH,ISABELA,ADDESSA SANTIAGO,F2,2,"JAMIAS, ERIC",DIRECT,Closed Branch
31,THURSDAY,FTI,NL,ASC,ISABELA,JK ISABELA,F2,2,,DIRECT,
31,THURSDAY,FTI,NL,ASC,ISABELA,ADDESSA CAUAYAN,F2,2,"JAMIAS, ERIC",DIRECT,Closed Branch
31,THURSDAY,FTI,NL,BRANCH,ISABELA,ABENSON SANTIAGO ISABELA,F2,2,"QUINAGORAN, OLIVER",DIRECT,Active
31,THURSDAY,FTI,NL,BRANCH,ISABELA,ROBINSONS ISABELA,F2,2,"QUINAGORAN, OLIVER",DIRECT,Active
31,THURSDAY,FTI,NL,BRANCH,ISABELA,MEGASAVER CAUAYAN ISABELA,F2,2,"QUINAGORAN, OLIVER",DIRECT,Active
31,THURSDAY,FTI,NL,BRANCH,ISABELA,MAGIC ILAGAN,F2,2,"QUINAGORAN, OLIVER",DIRECT,Active
31,THURSDAY,FTI,NL,BRANCH,ISABELA,MEGASAVER ILAGAN ISABELA,F2,2,"QUINAGORAN, OLIVER",DIRECT,Active
31,THURSDAY,FTI,NL,BRANCH,ISABELA,SAVERS ILAGAN,F2,2,"QUINAGORAN, OLIVER",DIRECT,Active
31,THURSDAY,FTI,NL,ASC,ISABELA,COOL AIDE CAUAYAN,F2,2,,DIRECT,
32,FRIDAY,FTI,NL,BRANCH,LA UNION,TIONGSAN ROSARIO,F4,4,"OPEÑA, JR., ROLANDO",DIRECT,Active
32,FRIDAY,FTI,NL,BRANCH,LA UNION,CSI AGOO,F4,4,"BESO, GRANNY REY",DIRECT,Active
32,FRIDAY,FTI,NL,BRANCH,LA UNION,MAGIC AGOO,F4,4,"BESO, GRANNY REY",DIRECT,Active
32,FRIDAY,FTI,NL,BRANCH,LA UNION,MAGIC BAUANG LA UNION,F4,4,"BESO, GRANNY REY",DIRECT,Active
32,FRIDAY,FTI,NL,ASC,LA UNION,TECHNOMAGIC BAUANG,F4,4,,DIRECT,
32,FRIDAY,FTI,NL,ASC,LA UNION,CENTRAL REPUBLIC LA UNION,F4,4,,DIRECT,
32,FRIDAY,FTI,NL,BRANCH,LA UNION,ADDESSA LA UNION,F4,4,"BESO, GRANNY REY",DIRECT,Closed Branch
32,FRIDAY,FTI,NL,BRANCH,LA UNION,ROBINSONS RP LA UNION,F4,4,"BESO, GRANNY REY",DIRECT,Active
32,FRIDAY,FTI,NL,BRANCH,LA UNION,MAGIC SAN FERNANDO LA UNION,F4,4,"BESO, GRANNY REY",DIRECT,Active
32,FRIDAY,FTI,NL,BRANCH,LA UNION,CSI LA UNION,F4,4,"BESO, GRANNY REY",DIRECT,Active
32,FRIDAY,FTI,NL,BRANCH,LA UNION,MEGASAVER SAN FERNANDO LA UNION,F4,4,"BESO, GRANNY REY",DIRECT,Active
33,WEDNESDAY,FTI,MM,ASC,LAS PINAS,MPC,F4,4,,DIRECT,
33,WEDNESDAY,FTI,MM,BRANCH,LAS PINAS,ABENSON WM BICUTAN,F4,4,"ALBERTO, JOEY",DIRECT,Active
33,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,LAS PINAS,ABENSON WM MUNTINLUPA,F8,8,"ALBERTO, JOEY",DIRECT,Active
33,WEDNESDAY,FTI,MM,BRANCH,LAS PINAS,ABENSON JAKA SUCAT,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
33,WEDNESDAY,FTI,MM,BRANCH,LAS PINAS,S&R SUCAT,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
33,WEDNESDAY,FTI,MM,BRANCH,LAS PINAS,ABENSON WM SUCAT,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
33,WEDNESDAY,FTI,MM,BRANCH,LAS PINAS,ROBINSONS LAS PINAS,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
33,WEDNESDAY,FTI,MM,BRANCH,LAS PINAS,ABENSON LAS PINAS,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
33,WEDNESDAY,FTI,MM,BRANCH,LAS PINAS,WESTERN LAS PINAS,F4,4,"MUÑOZ, RICHARD",DIRECT,Active but not Branch
33,WEDNESDAY,FTI,MM,BRANCH,LAS PINAS,S&R DC MAIN,F4,4,C/O AE,DIRECT,Active but not Branch
34,MONDAY,FTI,SL,BRANCH,LIPA,ABENSON WM NASUGBU,F4,4,"LEVITA, RANDY",DIRECT,Active
34,MONDAY & THURSDAY,FTI,SL,BRANCH,LIPA,ABENSON WM BALAYAN,F8,8,"LEVITA, RANDY",DIRECT,Active
34,MONDAY & THURSDAY,FTI,SL,BRANCH,LIPA,ROBINSONS LEMERY,F8,8,"LEVITA, RANDY",DIRECT,Active
34,MONDAY & THURSDAY,FTI,SL,BRANCH,LIPA,ABENSON WM TANAUAN,F8,8,"LEVITA, RANDY",DIRECT,Active
34,MONDAY,FTI,SL,BRANCH,LIPA,ABENSON LIPA,F4,4,"LEVITA, RANDY",DIRECT,Active
34,MONDAY & THURSDAY,FTI,SL,BRANCH,LIPA,ROBINSONS LIPA,F8,8,"LEVITA, RANDY",DIRECT,Active
34,THURSDAY,FTI,MM,BRANCH,LIPA,S&R LIPA,F4,4,"LEVITA, RANDY",DIRECT,Active
35,MONDAY,FTI,SL,BRANCH,LUCENA,ABENSON WM CANDELARIA,F4,4,"LEVITA, RANDY",DIRECT,Active
35,MONDAY,FTI,SL,BRANCH,LUCENA,S&R LUCENA,F4,4,"LEVITA, RANDY",DIRECT,Active
35,MONDAY,FTI,SL,BRANCH,LUCENA,METRO LUCENA,F4,4,"LEVITA, RANDY",DIRECT,Active
35,MONDAY,FTI,SL,BRANCH,LUCENA,ABENSON LUCENA,F4,4,"LEVITA, RANDY",DIRECT,Active
35,MONDAY,FTI,SL,ASC,LUCENA,VIEWERS,F4,4,,DIRECT,
35,MONDAY,FTI,SL,ASC,LUCENA,OLED,F4,4,,DIRECT,
35,MONDAY,FTI,SL,BRANCH,LUCENA,IMPERIAL LUCENA,F4,4,"LEVITA, RANDY",DIRECT,Active
35,MONDAY,FTI,SL,BRANCH,LUCENA,IMPERIAL LUCENA DOS,F4,4,"LEVITA, RANDY",DIRECT,Active
35,MONDAY,FTI,SL,BRANCH,LUCENA,ALSONS LUCENA,F4,4,"LEVITA, RANDY",DIRECT,Active
36,WEDNESDAY,FTI,MM,BRANCH,MAKATI,WESTERN MAKATI,F4,4,"SADIA, IAN",DIRECT,Active
36,WEDNESDAY,FTI,MM,BRANCH,MAKATI,ABENSON AC GLORIETTA 1,F4,4,"SADIA, IAN",DIRECT,Active
36,WEDNESDAY,FTI,MM,BRANCH,MAKATI,ABENSON GLORIETTA,F4,4,"SADIA, IAN",DIRECT,Active
36,WEDNESDAY,FTI,MM,BRANCH,MAKATI,ABENSON ONE AYALA MAKATI,F4,4,"SADIA, IAN",DIRECT,Active
36,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,MAKATI,ANSONS NEW MAKATI,F8,8,"SADIA, IAN",DIRECT,Active
36,WEDNESDAY,FTI,MM,BRANCH,MAKATI,AV SURFER GLORIETTA,F4,4,,DIRECT,
37,FRIDAY,FTI,NL,BRANCH,MANGALDAN,CSI MANAOAG,F4,4,"BESO, GRANNY REY",DIRECT,Active
37,FRIDAY,FTI,NL,BRANCH,MANGALDAN,MAGIC MANAOAG,F4,4,"BESO, GRANNY REY",DIRECT,Active
37,FRIDAY,FTI,NL,BRANCH,MANGALDAN,MAGIC MANGALDAN,F4,4,"BESO, GRANNY REY",DIRECT,Active
37,FRIDAY,FTI,NL,BRANCH,MANGALDAN,ADDESSA MANGALDAN,F4,4,"BESO, GRANNY REY",DIRECT,Closed Branch
37,FRIDAY,FTI,NL,BRANCH,MANGALDAN,MAGIC NEPO MALL,F4,4,"CARANZA, JEFFREY",DIRECT,Active
37,FRIDAY,FTI,NL,BRANCH,MANGALDAN,CSI MARKET SQUARE,F4,4,"CARANZA, JEFFREY",DIRECT,Active
37,FRIDAY,FTI,NL,BRANCH,MANGALDAN,MAGIC ZAMORA,F4,4,"CARANZA, JEFFREY",DIRECT,Active
37,FRIDAY,FTI,NL,BRANCH,MANGALDAN,MAGIC TECHNO HUB,F4,4,"CARANZA, JEFFREY",DIRECT,Active
37,FRIDAY,FTI,NL,BRANCH,MANGALDAN,ADDESSA DAGUPAN,F4,4,"CARANZA, JEFFREY",DIRECT,Closed Branch
38,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,MARIKINA,ABENSON ARVO MARIKINA,F8,8,"JACINTO, LAURO",DIRECT,Active
38,WEDNESDAY,FTI,MM,BRANCH,MARIKINA,S&R MARIKINA,F4,4,"JACINTO, LAURO",DIRECT,Active
38,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,MARIKINA,ABENSON MASINAG,F8,8,"JACINTO, LAURO",DIRECT,Active
38,WEDNESDAY,FTI,MM,BRANCH,MARIKINA,ABENSON AYALA FELIZ,F4,4,"JACINTO, LAURO",DIRECT,Active
38,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,MARIKINA,ABENSON CAINTA 2,F8,8,"JACINTO, LAURO",DIRECT,Active
38,WEDNESDAY,FTI,MM,BRANCH,MARIKINA,WESTERN STA. LUCIA,F4,4,"JACINTO, LAURO",DIRECT,Active
38,WEDNESDAY,FTI,MM,BRANCH,MARIKINA,ROBINSONS METROEAST,F4,4,"JACINTO, LAURO",DIRECT,Active
38,WEDNESDAY,FTI,MM,BRANCH,MARIKINA,ABENSON CAINTA 1,F4,4,"JACINTO, LAURO",DIRECT,To be Closed
38,WEDNESDAY,FTI,MM,BRANCH,MARIKINA,ROBINSONS LUCKY GOLD PLAZA,F4,4,"HILARIO, ELIZALDE",DIRECT,Active
38,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,MARIKINA,ANSONS CAINTA,F8,8,"JACINTO, LAURO",DIRECT,Active
38,WEDNESDAY,FTI,MM,BRANCH,MARIKINA,ABENSON AC STA. LUCIA,F4,4,"JACINTO, LAURO",DIRECT,Closed Branch
38,WEDNESDAY,FTI,MM,BRANCH,MARIKINA,AV SURFER METRO EAST,F4,4,,DIRECT,
38,WEDNESDAY,FTI,MM,BRANCH,MARIKINA,AV SURFER STA. LUCIA,F4,4,,DIRECT,
38,WEDNESDAY,FTI,MM,DC,MARIKINA,ROBINSONS DC,F4,4,"JACINTO, LAURO",DIRECT,Active but not Branch
39,TUESDAY,FTI,CL,BRANCH,MARILAO,ROBINSONS MEYCAUAYAN,F4,4,"TABAGAN, ARTHUR",DIRECT,Active
39,TUESDAY & FRIDAY,FTI,CL,BRANCH,MARILAO,ABENSON MEYCAUAYAN,F8,8,"TABAGAN, ARTHUR",DIRECT,Active
39,TUESDAY,FTI,CL,BRANCH,MARILAO,ABENSON PG BOCAUE,F4,4,"TABAGAN, ARTHUR",DIRECT,Active
39,TUESDAY,FTI,CL,BRANCH,MARILAO,MEGASAVER STA. MARIA,F4,4,"CUNANAN, JERALD",DIRECT,Active
39,TUESDAY & FRIDAY,FTI,CL,BRANCH,MARILAO,ABENSON WM STA. MARIA,F8,8,"TABAGAN, ARTHUR",DIRECT,Active
39,TUESDAY,FTI,CL,BRANCH,MARILAO,ADDESSA STA. MARIA,F4,4,"ANTIPALA, LOUIECENCIO",DIRECT,Closed Branch
39,TUESDAY & FRIDAY,FTI,CL,BRANCH,MARILAO,ABENSON WM PLARIDEL,F8,8,"TABAGAN, ARTHUR",DIRECT,Active
39,TUESDAY & FRIDAY,FTI,CL,BRANCH,MARILAO,ABENSON WM GUIGUINTO,F8,8,"TABAGAN, ARTHUR",DIRECT,Active
39,TUESDAY,FTI,CL,BRANCH,MARILAO,SAVERS GUIGUINTO,F4,4,"TABAGAN, ARTHUR",DIRECT,Active
40,WEDNESDAY,FTI,MM,BRANCH,MEGAMALL,WESTERN MEGAMALL,F4,4,"SADIA, IAN",DIRECT,Active
40,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,MEGAMALL,ANSONS PASIG,F8,8,"SADIA, IAN",DIRECT,Active
40,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,MEGAMALL,ANSONS PASIG COMMON,F8,8,"SADIA, IAN",DIRECT,Active
40,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,MEGAMALL,ALLHOME SHAW,F8,8,"SADIA, IAN",DIRECT,Closed Branch
40,WEDNESDAY,FTI,MM,BRANCH,MEGAMALL,S&R SHAW,F4,4,"SADIA, IAN",DIRECT,Active
40,WEDNESDAY,FTI,MM,BRANCH,MEGAMALL,ABENSON GALLERIA,F4,4,"HILARIO, ELIZALDE",DIRECT,Active
40,WEDNESDAY,FTI,MM,BRANCH,MEGAMALL,ROBINSONS GALLERIA,F4,4,"HILARIO, ELIZALDE",DIRECT,Active
40,WEDNESDAY,FTI,MM,BRANCH,MEGAMALL,ABENSON MADISON GREENHILLS,F4,4,"HILARIO, ELIZALDE",DIRECT,Active
40,WEDNESDAY,FTI,MM,BRANCH,MEGAMALL,WESTERN GREENHILLS,F4,4,"HILARIO, ELIZALDE",DIRECT,Active
40,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,MEGAMALL,ANSONS GREENHILLS,F8,8,"SADIA, IAN",DIRECT,Active
41,MONDAY,FTI,MM,BRANCH,MORATO,WESTERN MORATO - ATTIVO,F4,4,C/O AE,DIRECT,Active but not Branch
41,MONDAY,FTI,MM,BRANCH,MORATO,WESTERN MORATO - MARKETING,F4,4,C/O AE,DIRECT,Active but not Branch
41,MONDAY,FTI,MM,BRANCH,MORATO,WESTERN MORATO - GRAND CENTRAL,F4,4,C/O AE,DIRECT,Active but not Branch
42,MONDAY,FTI,SL,BRANCH,PAGSANJAN,ROBINSONS CABUYAO,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
42,MONDAY & THURSDAY,FTI,SL,BRANCH,PAGSANJAN,ABENSON WM CABUYAO,F8,8,"MUÑOZ, RICHARD",DIRECT,Active
42,MONDAY & THURSDAY,FTI,SL,BRANCH,PAGSANJAN,ROBINSONS CANLUBANG,F8,8,"MUÑOZ, RICHARD",DIRECT,Active
42,MONDAY,FTI,SL,BRANCH,PAGSANJAN,IMPERIAL CALAMBA,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
42,MONDAY & THURSDAY,FTI,SL,BRANCH,PAGSANJAN,ABENSON WM MAKILING,F8,8,"MUÑOZ, RICHARD",DIRECT,Active
42,MONDAY,FTI,SL,BRANCH,PAGSANJAN,ABENSON OLIVAREZ LAGUNA,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
42,MONDAY,FTI,SL,BRANCH,PAGSANJAN,ROBINSONS OLIVAREZ LAGUNA,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
42,MONDAY,FTI,SL,BRANCH,PAGSANJAN,SAVERS STA. CRUZ,F4,4,"JACINTO, LAURO",DIRECT,Active
42,MONDAY,FTI,SL,BRANCH,PAGSANJAN,ROBINSONS PAGSANJAN,F4,4,"JACINTO, LAURO",DIRECT,Active
43,TUESDAY,FTI,CL,BRANCH,PAMPANGA,IMPERIAL PAMPANGA,F4,4,"CUNANAN, JERALD",DIRECT,Active
43,TUESDAY,FTI,CL,ASC,PAMPANGA,ZM APPLIANCES,F4,4,,DIRECT,
43,TUESDAY,FTI,CL,BRANCH,PAMPANGA,MEGASAVER SINDALAN,F4,4,"CUNANAN, JERALD",DIRECT,Active
43,TUESDAY,FTI,CL,BRANCH,PAMPANGA,ALLHOME PAMPANGA,F4,4,"CUNANAN, JERALD",DIRECT,Closed Branch
43,TUESDAY,FTI,CL,BRANCH,PAMPANGA,ADDESSA SINDALAN,F4,4,"CUNANAN, JERALD",DIRECT,Closed Branch
43,TUESDAY,FTI,CL,BRANCH,PAMPANGA,ABENSON WM SAN FERNANDO,F4,4,"CUNANAN, JERALD",DIRECT,Active
43,TUESDAY,FTI,CL,BRANCH,PAMPANGA,SAVERS SAN FERNANDO,F4,4,"CUNANAN, JERALD",DIRECT,Active
43,TUESDAY,FTI,CL,BRANCH,PAMPANGA,MEGASAVER GUAGUA,F4,4,"CUNANAN, JERALD",DIRECT,Active
44,TUESDAY,FTI,CL,BRANCH,PANIQUI,ABENSON WM CONCEPCION TARLAC,F4,4,"GALANO, DARIO",DIRECT,Active
44,TUESDAY,FTI,CL,BRANCH,PANIQUI,ADDESSA CONCEPCION TARLAC,F4,4,"GALANO, DARIO",DIRECT,Closed Branch
44,TUESDAY,FTI,CL,BRANCH,PANIQUI,MEGASAVER CONCEPCION,F4,4,"GALANO, DARIO",DIRECT,Active
44,TUESDAY,FTI,CL,BRANCH,PANIQUI,MEGASAVER PANIQUI PRIME,F4,4,"GALANO, DARIO",DIRECT,Active
44,TUESDAY,FTI,CL,BRANCH,PANIQUI,MAGIC PANIQUI,F4,4,"GALANO, DARIO",DIRECT,Closed Branch
44,TUESDAY,FTI,CL,BRANCH,PANIQUI,MEGASAVER PANIQUI,F4,4,"GALANO, DARIO",DIRECT,Active
44,TUESDAY,FTI,CL,BRANCH,PANIQUI,MEGASAVER CAMILING,F4,4,"GALANO, DARIO",DIRECT,Active
45,WEDNESDAY,FTI,MM,BRANCH,PASONG TAMO,ANSONS PASONG TAMO,F4,4,"SADIA, IAN",DIRECT,Active
45,WEDNESDAY,FTI,MM,BRANCH,PASONG TAMO,ABENSON WM MAKATI,F4,4,"SADIA, IAN",DIRECT,Active
45,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,PASONG TAMO,ANSONS LM MAKATI,F8,8,"SADIA, IAN",DIRECT,Active
46,WEDNESDAY,FTI,MM,BRANCH,QC,ABENSON FARMERS PLAZA,F4,4,"ALBERTO, JOEY",DIRECT,Active
46,WEDNESDAY,FTI,MM,BRANCH,QC,ABENSON AC ALIMALL,F4,4,"ALBERTO, JOEY",DIRECT,Active
46,WEDNESDAY,FTI,MM,BRANCH,QC,WESTERN FARMER'S PLAZA,F4,4,"ALBERTO, JOEY",DIRECT,Active
46,WEDNESDAY,FTI,MM,BRANCH,QC,ABENSON AC GATEWAY,F4,4,"ALBERTO, JOEY",DIRECT,Active
46,WEDNESDAY,FTI,MM,BRANCH,QC,ROBINSONS GATEWAY,F4,4,"ALBERTO, JOEY",DIRECT,Active
46,WEDNESDAY,FTI,MM,BRANCH,QC,ROBINSONS MAGNOLIA,F4,4,"HILARIO, ELIZALDE",DIRECT,Active
46,WEDNESDAY,FTI,MM,BRANCH,QC,ABENSON PG E. RODRIGUEZ,F4,4,"HILARIO, ELIZALDE",DIRECT,Active
46,WEDNESDAY,FTI,MM,BRANCH,QC,ABENSON WM E RODRIGUEZ,F4,4,"HILARIO, ELIZALDE",DIRECT,Active
46,WEDNESDAY,FTI,MM,BRANCH,QC,S&R NEW MANILA,F4,4,"HILARIO, ELIZALDE",DIRECT,Active
46,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,QC,WESTERN P. TUAZON,F8,8,"ALBERTO, JOEY",DIRECT,Active
47,FRIDAY,FTI,NL,BRANCH,SAN CARLOS,MAGIC BAYAMBANG,F4,4,"CARANZA, JEFFREY",DIRECT,Active
47,FRIDAY,FTI,NL,ASC,SAN CARLOS,TECHMAGIC BAYAMBANG,F4,4,,DIRECT,
47,FRIDAY,FTI,NL,BRANCH,SAN CARLOS,MAGIC MALASIQUI,F4,4,"CARANZA, JEFFREY",DIRECT,Active
47,FRIDAY,FTI,NL,BRANCH,SAN CARLOS,CSI SAN CARLOS,F4,4,"CARANZA, JEFFREY",DIRECT,Active
47,FRIDAY,FTI,NL,BRANCH,SAN CARLOS,ADDESSA SAN CARLOS,F4,4,"DE GUZMAN, JEFFERSON",DIRECT,Closed Branch
47,FRIDAY,FTI,NL,BRANCH,SAN CARLOS,MAGIC SAN CARLOS 2,F4,4,"CARANZA, JEFFREY",DIRECT,Active
47,FRIDAY,FTI,NL,BRANCH,SAN CARLOS,MAGIC SAN CARLOS,F4,4,"CARANZA, JEFFREY",DIRECT,Active
47,FRIDAY,FTI,NL,ASC,SAN CARLOS,TECHNOMAGIC SAN CARLOS,F4,4,,DIRECT,
47,FRIDAY,FTI,NL,BRANCH,SAN CARLOS,ADDESSA MANGATAREM,F4,4,"CARANZA, JEFFREY",DIRECT,Closed Branch
47,FRIDAY,FTI,NL,BRANCH,SAN CARLOS,MAGIC MANGATAREM,F4,4,"CARANZA, JEFFREY",DIRECT,Active
48,THURSDAY,FTI,CL,BRANCH,SAN JOSE,MEGASAVER GUIMBA,F4,4,"LIWAG, CHRISTOPHER ALLEN",DIRECT,Active
48,THURSDAY,FTI,CL,ASC,SAN JOSE,EDJAY GUIMBA,F4,4,,DIRECT,
48,THURSDAY,FTI,CL,BRANCH,SAN JOSE,MEGASAVER SAN JOSE,F4,4,"LIWAG, CHRISTOPHER ALLEN",DIRECT,Active
48,THURSDAY,FTI,CL,ASC,SAN JOSE,ENZO SAN JOSE,F4,4,,DIRECT,
48,THURSDAY,FTI,CL,BRANCH,SAN JOSE,MAGIC SAN JOSE,F4,4,"LIWAG, CHRISTOPHER ALLEN",DIRECT,Active
48,THURSDAY,FTI,CL,BRANCH,SAN JOSE,ABENSON WM SAN JOSE,F4,4,"LIWAG, CHRISTOPHER ALLEN",DIRECT,Active
48,THURSDAY,FTI,CL,BRANCH,SAN JOSE,ADDESSA SAN JOSE,F4,4,"HILARIO, ELIZALDE",DIRECT,Closed Branch
48,THURSDAY,FTI,CL,ASC,SAN JOSE,APPLETRONICS SAN JOSE,F4,4,,DIRECT,
48,THURSDAY,FTI,CL,ASC,SAN JOSE,MTC SAN JOSE,F4,4,,DIRECT,
48,THURSDAY,FTI,CL,BRANCH,SAN JOSE,ROBINSONS BALER,F4,4,"LIWAG, CHRISTOPHER ALLEN",DIRECT,Active
48,THURSDAY,FTI,CL,ASC,SAN JOSE,EDJAY BALER,F4,4,,DIRECT,
49,MONDAY,FTI,SL,BRANCH,SAN PABLO,S&R STO. TOMAS,F4,4,"LEVITA, RANDY",DIRECT,Active
49,MONDAY,FTI,SL,ASC,SAN PABLO,GLACIAL-K STO. TOMAS,F4,4,,DIRECT,
49,MONDAY,FTI,SL,BRANCH,SAN PABLO,IMPERIAL SAN PABLO,F4,4,"LEVITA, RANDY",DIRECT,Active
49,MONDAY,FTI,SL,BRANCH,SAN PABLO,ABENSON SAN PABLO,F4,4,"LEVITA, RANDY",DIRECT,Active
49,MONDAY,FTI,SL,BRANCH,SAN PABLO,MEGASAVER SAN PABLO,F4,4,"LEVITA, RANDY",DIRECT,Active
50,MONDAY & THURSDAY,FTI,SL,BRANCH,STA. ROSA,ANSONS NUVALI,F8,8,"MUÑOZ, RICHARD",DIRECT,Active
50,MONDAY,FTI,SL,BRANCH,STA. ROSA,S&R NUVALI,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
50,MONDAY,FTI,SL,BRANCH,STA. ROSA,ALLHOME STA. ROSA,F4,4,"MUÑOZ, RICHARD",DIRECT,Closed Branch
50,MONDAY,FTI,SL,BRANCH,STA. ROSA,ABENSON WM STA. ROSA,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
50,MONDAY,FTI,SL,ASC,STA. ROSA,PSD STA. ROSA,F4,4,,DIRECT,
50,MONDAY,FTI,SL,BRANCH,STA. ROSA,ABENSON BALIBAGO,F4,4,"MUÑOZ, RICHARD",DIRECT,Closed Branch
51,TUESDAY,FTI,CL,BRANCH,SUBIC,ABENSON WM SUBIC,F4,4,"CUNANAN, JERALD",DIRECT,Active
51,TUESDAY,FTI,NL,BRANCH,SUBIC,ROBINSONS IBA ZAMBALES,F4,4,"CUNANAN, JERALD",DIRECT,Active
51,TUESDAY,FTI,NL,BRANCH,SUBIC,CSI ZAMBALES,F4,4,"CUNANAN, JERALD",DIRECT,Active
51,TUESDAY,FTI,CL,ASC,SUBIC,AAC BOTOLAN,F4,4,,DIRECT,
51,TUESDAY,FTI,CL,BRANCH,SUBIC,ABENSON SUBIC,F4,4,"CUNANAN, JERALD",DIRECT,Active
51,TUESDAY,FTI,CL,BRANCH,SUBIC,AV SURFER SUBIC,F4,4,,DIRECT,
51,TUESDAY,FTI,CL,BRANCH,SUBIC,MEGASAVER OLONGAPO,F4,4,"CUNANAN, JERALD",DIRECT,Active
51,TUESDAY,FTI,CL,BRANCH,SUBIC,SAVERS OLONGAPO,F4,4,"CUNANAN, JERALD",DIRECT,Active
51,TUESDAY,FTI,CL,ASC,SUBIC,JVD,F4,4,,DIRECT,
